Date,Time,Heart_Rate
06 Jan,01:10,71
06 Jan,01:00,73
06 Jan,00:50,75
06 Jan,00:40,77
06 Jan,00:30,77
06 Jan,00:20,77
06 Jan,00:00,76
05 Jan,23:40,86
05 Jan,23:30,71
05 Jan,23:22,76
05 Jan,23:10,77
05 Jan,22:40,81
05 Jan,21:10,90
05 Jan,21:00,83
05 Jan,19:00,97
05 Jan,18:50,84
05 Jan,17:30,61
05 Jan,17:20,57
05 Jan,17:10,58
05 Jan,17:00,59
05 Jan,16:50,61
05 Jan,16:40,62
05 Jan,16:30,64
05 Jan,16:20,60
05 Jan,16:10,67
05 Jan,16:00,67
05 Jan,15:51,69
05 Jan,15:40,59
05 Jan,15:31,65
05 Jan,15:20,63
05 Jan,15:10,65
05 Jan,15:00,64
05 Jan,14:50,64
05 Jan,14:40,59
05 Jan,14:30,64
05 Jan,14:20,64
05 Jan,14:10,63
05 Jan,14:01,80
05 Jan,13:50,66
05 Jan,13:20,71
05 Jan,13:11,75
05 Jan,13:00,77
05 Jan,12:00-12:59,69-72
05 Jan,12:50,78
05 Jan,12:31,92
05 Jan,12:00,85
05 Jan,11:50,82
05 Jan,11:40,82
05 Jan,11:30,79
05 Jan,11:20,77
05 Jan,11:00,78
05 Jan,10:20,97
05 Jan,10:00,54
05 Jan,09:50,63
05 Jan,09:40,62
05 Jan,09:30,62
05 Jan,09:20,63
05 Jan,09:10,58
05 Jan,09:00,59
05 Jan,08:50,56
05 Jan,08:40,59
05 Jan,08:30,60
05 Jan,08:20,58
05 Jan,08:10,58
05 Jan,08:00,60
05 Jan,07:50,55
05 Jan,07:40,66
05 Jan,07:30,64
05 Jan,07:20,55
05 Jan,07:10,55
05 Jan,07:00,59
05 Jan,06:51,68
05 Jan,06:40,63
05 Jan,06:30,61
05 Jan,06:20,52
05 Jan,06:10,58
05 Jan,06:00,57
05 Jan,05:50,58
05 Jan,05:40,58
05 Jan,05:30,56
05 Jan,05:20,62
05 Jan,05:10,62
05 Jan,05:00,66
05 Jan,04:50,63
05 Jan,04:40,63
05 Jan,04:30,65
05 Jan,04:20,67
05 Jan,04:10,64
05 Jan,04:00,65
05 Jan,03:50,66
05 Jan,03:40,66
05 Jan,03:30,67
05 Jan,03:20,64
05 Jan,03:10,66
05 Jan,03:00,66
05 Jan,02:50,65
05 Jan,02:40,71
05 Jan,02:30,74
05 Jan,02:10,67
05 Jan,00:40,87
05 Jan,00:20,76
04 Jan,23:00,72
04 Jan,21:01,87
04 Jan,19:41,104
04 Jan,19:41,103
04 Jan,18:50,84
04 Jan,17:30,80
04 Jan,17:10,86
04 Jan,17:00,77
04 Jan,16:50,78
04 Jan,15:40,84
04 Jan,14:40,76
04 Jan,14:30,97
04 Jan,14:07,85
04 Jan,13:50,107
04 Jan,13:00,75
04 Jan,12:50,80
04 Jan,12:40,80
04 Jan,12:10,86
04 Jan,11:50,80
04 Jan,11:40,78
04 Jan,11:20,85
04 Jan,11:10,80
03 Jan,18:30,75
03 Jan,18:20,93
03 Jan,18:00,78
03 Jan,17:50,75
03 Jan,17:20,82
03 Jan,17:10,65
03 Jan,16:50,64
03 Jan,16:20,64
03 Jan,15:50,61
03 Jan,15:40,63
03 Jan,15:20,70
03 Jan,15:00,61
03 Jan,14:30,70
03 Jan,13:50,76
03 Jan,13:28,81
03 Jan,12:20,73
03 Jan,12:10,76
03 Jan,12:00,78
03 Jan,11:10,86
03 Jan,11:00,84
03 Jan,10:00-10:59,86-88
03 Jan,10:53,88
03 Jan,10:40,83
03 Jan,10:20,87
03 Jan,03:00,82
03 Jan,02:50,90
03 Jan,02:40,86
03 Jan,02:20,85
03 Jan,01:50,75
03 Jan,01:30,75
03 Jan,01:20,80
03 Jan,00:10,76
03 Jan,00:01,70
02 Jan,23:50,75
02 Jan,23:40,76
02 Jan,23:30,70
02 Jan,23:10,90
02 Jan,23:00,82
02 Jan,21:30,78
02 Jan,21:20,77
02 Jan,21:10,74
02 Jan,21:00,81
02 Jan,20:50,82
02 Jan,20:31,100
02 Jan,18:32,101
02 Jan,18:00,100
02 Jan,17:50,109
02 Jan,17:40,115
02 Jan,17:10,81
02 Jan,16:50,74
02 Jan,16:40,88
02 Jan,16:31,77
02 Jan,16:20,78
02 Jan,16:10,83
02 Jan,16:01,81
02 Jan,15:51,85
02 Jan,15:40,108
02 Jan,14:20,66
02 Jan,14:11,65
02 Jan,14:00,62
02 Jan,13:50,65
02 Jan,13:40,65
02 Jan,13:30,62
02 Jan,13:20,71
02 Jan,13:10,64
02 Jan,13:00,59
02 Jan,12:50,60
02 Jan,12:30,60
02 Jan,12:20,61
02 Jan,11:50,59
02 Jan,11:40,60
02 Jan,11:30,59
02 Jan,11:20,65
02 Jan,11:10,63
02 Jan,11:01,55
02 Jan,10:50,55
02 Jan,10:40,57
02 Jan,10:30,59
02 Jan,10:20,56
02 Jan,10:10,58
02 Jan,10:00,58
02 Jan,09:51,61
02 Jan,09:40,59
02 Jan,09:30,57
02 Jan,09:20,64
02 Jan,09:10,68
02 Jan,09:00,62
02 Jan,08:50,55
02 Jan,08:40,57
02 Jan,08:30,59
02 Jan,08:20,56
02 Jan,08:10,56
02 Jan,08:00,61
02 Jan,07:50,60
02 Jan,07:40,62
02 Jan,07:30,62
02 Jan,07:20,58
02 Jan,07:10,62
02 Jan,07:00,60
02 Jan,06:50,59
02 Jan,06:40,60
02 Jan,06:30,60
02 Jan,06:20,63
02 Jan,06:10,64
02 Jan,06:00,63
02 Jan,05:50,60
02 Jan,05:40,63
02 Jan,05:30,69
02 Jan,05:20,64
02 Jan,05:10,64
02 Jan,05:00,68
02 Jan,04:50,67
02 Jan,04:40,69
02 Jan,04:30,76
02 Jan,04:20,73
02 Jan,04:00,72
02 Jan,03:50,67
02 Jan,03:40,71
02 Jan,03:20,74
02 Jan,03:10,71
02 Jan,02:50,79
02 Jan,02:20,72
02 Jan,01:43,82
02 Jan,01:40,97
02 Jan,01:10,78
02 Jan,01:00,72
02 Jan,00:50,79
02 Jan,00:31,79
02 Jan,00:20,78
02 Jan,00:10,81
02 Jan,00:00,82
01 Jan,23:50,71
01 Jan,23:14,76
01 Jan,21:30,84
01 Jan,21:20,98
01 Jan,21:10,92
01 Jan,21:00,86
01 Jan,20:50,91
01 Jan,20:40,89
01 Jan,20:20,85
01 Jan,20:00,78
01 Jan,19:50,75
01 Jan,19:30,84
01 Jan,19:20,79
01 Jan,19:10,70
01 Jan,19:00,78
01 Jan,18:59,100
01 Jan,17:01,79
01 Jan,16:40,69
01 Jan,16:30,74
01 Jan,16:10,70
01 Jan,16:00,78
01 Jan,15:50,72
01 Jan,15:40,70
01 Jan,15:10,76
01 Jan,14:20,80
01 Jan,14:10,86
01 Jan,14:00,85
01 Jan,12:40,80
01 Jan,12:20,84
01 Jan,12:00,81
01 Jan,02:41,76
01 Jan,02:30,77
01 Jan,02:21,80
01 Jan,02:09,86
31 Dec,23:46,170
31 Dec,23:01,86
31 Dec,22:51,92
31 Dec,21:40,93
31 Dec,21:31,91
31 Dec,21:10,86
31 Dec,21:00,90
31 Dec,20:50,91
31 Dec,19:52,92
31 Dec,19:20,97
31 Dec,19:16,103
31 Dec,18:31,85
31 Dec,18:20,89
31 Dec,18:00,77
31 Dec,17:10,71
31 Dec,16:50,70
31 Dec,16:40,68
31 Dec,16:30,80
31 Dec,16:21,72
31 Dec,16:10,74
31 Dec,15:31,76
31 Dec,14:30,67
31 Dec,14:10,73
31 Dec,14:00,72
31 Dec,13:50,77
31 Dec,13:40,79
31 Dec,12:34,135
31 Dec,12:20,83
31 Dec,12:10,82
31 Dec,01:30,70
31 Dec,01:01,76
31 Dec,00:50,72
31 Dec,00:41,72
31 Dec,00:30,76
31 Dec,00:20,82
31 Dec,00:10,77
31 Dec,00:00,75
30 Dec,23:41,78
30 Dec,23:30,79
30 Dec,23:20,80
30 Dec,23:10,79
30 Dec,22:50,78
30 Dec,22:40,77
30 Dec,22:30,72
30 Dec,22:20,81
30 Dec,22:00,72
30 Dec,21:51,73
30 Dec,21:40,69
30 Dec,21:30,75
30 Dec,21:20,75
30 Dec,21:10,77
30 Dec,21:00,70
30 Dec,20:50,73
30 Dec,20:40,76
30 Dec,20:20,73
30 Dec,20:10,78
30 Dec,20:00,81
30 Dec,19:50,79
30 Dec,19:40,83
30 Dec,19:30,81
30 Dec,19:20,82
30 Dec,19:11,85
30 Dec,19:00,78
30 Dec,18:50,89
30 Dec,18:10,76
30 Dec,18:00,77
30 Dec,17:50,79
30 Dec,17:40,74
30 Dec,16:00,84
30 Dec,15:50,73
30 Dec,15:40,72
30 Dec,15:20,75
30 Dec,14:50,84
30 Dec,14:41,83
30 Dec,14:30,72
30 Dec,14:00,69
30 Dec,13:50,75
30 Dec,13:40,80
30 Dec,13:30,76
30 Dec,13:20,77
30 Dec,13:10,79
30 Dec,12:40,86
30 Dec,12:30,99
30 Dec,12:21,89
30 Dec,12:00,57
30 Dec,11:50,58
30 Dec,11:40,64
30 Dec,11:30,55
30 Dec,11:20,58
30 Dec,11:10,57
30 Dec,11:00,62
30 Dec,10:50,61
30 Dec,10:40,59
30 Dec,10:30,65
30 Dec,10:20,58
30 Dec,10:10,61
30 Dec,10:01,67
30 Dec,09:50,61
30 Dec,09:40,60
30 Dec,09:30,58
30 Dec,09:20,64
30 Dec,09:10,59
30 Dec,09:00,59
30 Dec,08:50,62
30 Dec,08:40,58
30 Dec,08:30,58
30 Dec,08:20,56
30 Dec,08:10,56
30 Dec,08:00,57
30 Dec,07:50,60
30 Dec,07:40,58
30 Dec,07:30,62
30 Dec,07:20,59
30 Dec,07:10,58
30 Dec,07:00,70
30 Dec,06:50,55
30 Dec,06:40,58
30 Dec,06:30,59
30 Dec,06:20,53
30 Dec,06:10,55
30 Dec,05:50,52
30 Dec,05:40,54
30 Dec,05:30,55
30 Dec,05:20,56
30 Dec,05:10,60
30 Dec,05:01,61
30 Dec,04:50,65
30 Dec,04:41,73
30 Dec,04:30,66
30 Dec,04:20,70
30 Dec,04:10,74
30 Dec,04:00,77
30 Dec,03:51,75
30 Dec,03:20,79
30 Dec,03:00,72
30 Dec,02:50,71
30 Dec,02:40,77
30 Dec,02:30,75
30 Dec,02:20,76
30 Dec,02:00,74
30 Dec,01:50,80
30 Dec,01:40,77
30 Dec,01:30,72
30 Dec,01:20,87
30 Dec,01:10,79
30 Dec,00:50,90
30 Dec,00:41,93
30 Dec,00:20,80
30 Dec,00:10,72
30 Dec,00:00,79
29 Dec,23:50,85
29 Dec,23:41,81
29 Dec,23:20,79
29 Dec,23:10,75
29 Dec,22:00,75
29 Dec,21:50,81
29 Dec,20:40,89
29 Dec,20:30,93
29 Dec,20:00,107
29 Dec,18:30,71
29 Dec,18:20,76
29 Dec,18:14,77
29 Dec,13:20,64
29 Dec,13:10,64
29 Dec,13:00,62
29 Dec,12:50,65
29 Dec,12:40,66
29 Dec,12:30,67
29 Dec,12:20,60
29 Dec,12:10,63
29 Dec,12:00,70
29 Dec,11:50,63
29 Dec,11:40,74
29 Dec,11:30,75
29 Dec,11:20,73
29 Dec,11:10,76
29 Dec,10:40,97
29 Dec,10:25,64
29 Dec,10:20,59
29 Dec,10:10,58
29 Dec,10:00,65
29 Dec,09:50,55
29 Dec,09:40,51
29 Dec,09:30,54
29 Dec,09:20,52
29 Dec,09:10,51
29 Dec,09:00,54
29 Dec,08:50,55
29 Dec,08:40,60
29 Dec,08:30,57
29 Dec,08:20,59
29 Dec,08:10,53
29 Dec,08:00,59
29 Dec,07:50,58
29 Dec,07:40,58
29 Dec,07:30,53
29 Dec,07:20,54
29 Dec,07:10,56
29 Dec,07:00,58
29 Dec,06:50,59
29 Dec,06:40,63
29 Dec,06:30,56
29 Dec,06:20,58
29 Dec,06:10,69
29 Dec,06:00,71
29 Dec,05:50,59
29 Dec,05:40,58
29 Dec,05:30,53
29 Dec,05:21,56
29 Dec,05:10,56
29 Dec,05:00,58
29 Dec,04:51,56
29 Dec,04:40,60
29 Dec,04:30,58
29 Dec,04:20,67
29 Dec,04:10,63
29 Dec,04:00,61
29 Dec,03:50,55
29 Dec,03:40,59
29 Dec,03:30,58
29 Dec,03:10,63
29 Dec,03:00,67
29 Dec,02:50,71
29 Dec,02:40,66
29 Dec,02:30,66
29 Dec,02:20,69
29 Dec,02:10,72
29 Dec,02:00,71
29 Dec,01:50,74
29 Dec,01:40,78
29 Dec,01:31,74
29 Dec,01:20,79
29 Dec,01:10,84
29 Dec,01:00,77
29 Dec,00:50,83
29 Dec,00:40,95
29 Dec,00:10,79
29 Dec,00:01,84
28 Dec,23:50,75
28 Dec,23:30,73
28 Dec,23:20,71
28 Dec,23:10,74
28 Dec,22:50,67
28 Dec,22:40,77
28 Dec,22:30,73
28 Dec,21:40,81
28 Dec,20:41,73
28 Dec,19:40,73
28 Dec,18:40,75
28 Dec,18:21,112
28 Dec,18:10,82
28 Dec,18:00,66
28 Dec,17:50,80
28 Dec,17:40,73
28 Dec,17:30,77
28 Dec,17:21,84
28 Dec,16:50,77
28 Dec,16:40,97
28 Dec,16:31,83
28 Dec,16:20,86
28 Dec,15:40,84
28 Dec,15:20,82
28 Dec,15:00,90
28 Dec,14:50,93
28 Dec,14:30,86
28 Dec,14:12,165
28 Dec,04:30,81
28 Dec,04:21,78
28 Dec,03:50,85
28 Dec,03:40,91
28 Dec,03:00,89
28 Dec,02:50,74
28 Dec,02:40,72
28 Dec,02:30,82
28 Dec,02:20,81
28 Dec,02:00,77
28 Dec,01:50,82
28 Dec,01:40,81
28 Dec,01:31,82
28 Dec,00:50,78
28 Dec,00:40,83
28 Dec,00:30,96
28 Dec,00:20,86
28 Dec,00:10,90
27 Dec,23:40,81
27 Dec,23:30,86
27 Dec,23:20,79
27 Dec,23:10,81
27 Dec,22:50,80
27 Dec,22:10,79
27 Dec,21:50,87
27 Dec,21:10,91
27 Dec,21:00,91
27 Dec,20:50,95
27 Dec,20:40,95
27 Dec,20:30,104
27 Dec,20:20,103
27 Dec,20:10,95
27 Dec,20:00,100
27 Dec,19:10,99
27 Dec,19:00,92
27 Dec,18:50,80
27 Dec,18:40,82
27 Dec,18:30,82
27 Dec,17:50,87
27 Dec,17:10,87
27 Dec,16:50,87
27 Dec,16:40,88
27 Dec,16:16,105
27 Dec,15:54-16:12,90-145
27 Dec,15:50,100
27 Dec,15:40,97
27 Dec,15:37,108
27 Dec,15:24,103
27 Dec,14:57-15:20,102-160
27 Dec,13:51,110
27 Dec,13:50,112
27 Dec,13:30,87
27 Dec,13:00,90
27 Dec,12:57,93
27 Dec,12:45-12:53,115-127
27 Dec,12:35,74
27 Dec,11:50,65
27 Dec,11:40,62
27 Dec,11:30,57
27 Dec,11:20,56
27 Dec,03:10,69
27 Dec,02:50,74
27 Dec,02:40,77
27 Dec,02:30,71
27 Dec,02:10,76
27 Dec,01:40,75
27 Dec,01:30,82
26 Dec,23:40,79
26 Dec,23:38,83
26 Dec,22:20,94
26 Dec,22:10,95
26 Dec,21:00-21:59,95-97
26 Dec,21:40,107
26 Dec,20:40,99
26 Dec,20:30,97
26 Dec,20:26,99
26 Dec,20:21,102
26 Dec,19:00-19:59,100-101
26 Dec,19:50,103
26 Dec,19:50,104
26 Dec,19:20,76
26 Dec,18:35,72
26 Dec,17:44,82
26 Dec,17:20,79
26 Dec,16:30,78
26 Dec,15:49,84
26 Dec,15:29,80
26 Dec,14:00-14:59,88-88
26 Dec,14:50,95
26 Dec,14:12,85
26 Dec,13:20,111
26 Dec,09:20,65
26 Dec,09:10,59
26 Dec,09:00,59
26 Dec,08:50,60
26 Dec,08:40,61
26 Dec,08:30,62
26 Dec,08:20,61
26 Dec,08:10,61
26 Dec,08:00,63
26 Dec,07:50,64
26 Dec,07:40,65
26 Dec,07:30,61
26 Dec,07:20,62
26 Dec,07:10,63
26 Dec,07:00,70
26 Dec,06:50,64
26 Dec,06:40,56
26 Dec,06:30,59
26 Dec,06:20,63
26 Dec,06:10,65
26 Dec,05:50,64
26 Dec,05:40,68
26 Dec,05:30,62
26 Dec,05:20,58
26 Dec,05:10,62
26 Dec,05:00,62
26 Dec,04:50,62
26 Dec,04:40,70
26 Dec,04:30,64
26 Dec,04:20,64
26 Dec,04:10,74
26 Dec,04:00,79
26 Dec,03:50,77
26 Dec,03:30,81
26 Dec,03:20,84
26 Dec,03:00,90
26 Dec,02:00-02:59,83-83
26 Dec,02:32,82
26 Dec,02:20,88
26 Dec,02:10,88
26 Dec,01:00-01:59,84-86
26 Dec,01:50,76
26 Dec,01:40,96
26 Dec,01:00,82
26 Dec,00:00-00:59,80-81
26 Dec,00:50,75
26 Dec,00:30,80
26 Dec,00:20,75
26 Dec,00:10,82
25 Dec,23:00-23:59,74-77
25 Dec,23:50,96
25 Dec,23:30,77
25 Dec,23:20,75
25 Dec,23:10,79
25 Dec,23:00,85
25 Dec,22:50,74
25 Dec,22:40,87
25 Dec,22:30,86
25 Dec,22:24,87
25 Dec,22:01,74
25 Dec,21:00-21:59,90-91
25 Dec,21:50,85
25 Dec,21:40,84
25 Dec,21:30,90
25 Dec,21:00,90
25 Dec,20:20,97
25 Dec,19:50,106
25 Dec,19:30,111
25 Dec,19:00,86
25 Dec,18:24,84
25 Dec,17:00-17:59,76-77
25 Dec,17:10,71
25 Dec,16:50,70
25 Dec,16:30,65
25 Dec,16:20,70
25 Dec,16:10,67
25 Dec,16:00,67
25 Dec,15:50,68
25 Dec,15:40,65
25 Dec,15:30,67
25 Dec,15:20,68
25 Dec,15:11,63
25 Dec,15:00,69
25 Dec,14:00-14:59,105-106
25 Dec,14:40,79
25 Dec,13:36,107
25 Dec,13:20,64
25 Dec,13:00,64
25 Dec,12:50,63
25 Dec,12:30,70
25 Dec,12:09,66
25 Dec,12:00,65
25 Dec,11:50,74
25 Dec,11:40,72
25 Dec,11:30,70
25 Dec,11:00,85
25 Dec,10:00-10:59,67-68
25 Dec,10:54-10:55,80-103
25 Dec,10:50,86
25 Dec,10:40,83
25 Dec,10:31,69
25 Dec,10:30,66
25 Dec,04:20,77
25 Dec,04:10,73
25 Dec,03:40,81
25 Dec,03:10,83
25 Dec,03:00,82
25 Dec,02:50,82
25 Dec,02:40,79
25 Dec,02:30,84
25 Dec,02:22,118
25 Dec,02:10,80
25 Dec,02:00,83
25 Dec,01:00-01:59,76-77
25 Dec,01:41,83
25 Dec,01:31,87
25 Dec,01:26,85
25 Dec,01:20,87
25 Dec,01:10,83
25 Dec,01:00,84
25 Dec,00:50,84
25 Dec,00:31,75
25 Dec,00:20,83
25 Dec,00:10,86
25 Dec,00:00,89
24 Dec,23:50,90
24 Dec,23:47,85
24 Dec,23:20,86
24 Dec,23:10,81
24 Dec,23:00,87
24 Dec,22:00-22:59,91-91
24 Dec,22:50,84
24 Dec,22:30,91
24 Dec,22:19,90
24 Dec,22:13,90
24 Dec,22:10,92
24 Dec,22:00,96
24 Dec,21:40,98
24 Dec,20:00-20:59,117-119
24 Dec,20:50,118
24 Dec,20:30,105
24 Dec,20:14,120
24 Dec,19:23-19:23,121-124
24 Dec,19:01,117
24 Dec,18:50,116
22 Dec,02:40,80
21 Dec,20:42,151
21 Dec,20:41,123
21 Dec,18:10,125
21 Dec,18:09,174
15 Dec,09:34,78
13 Dec,13:26,98
13 Dec,13:22,96
12 Dec,15:27,92
12 Dec,14:33,96
12 Dec,14:32,91
11 Dec,10:17,75
10 Dec,19:51,136
10 Dec,13:44,130
09 Dec,14:01,118
08 Dec,09:18,86
08 Dec,09:18,80
03 Nov,16:20,125
21 Oct,14:00,82